epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
72,23400.4,1.09949,0.53617,0.89594,1.46238,0.00824275,0.00824275,0.00824275
73,23732.8,1.08182,0.53871,0.89784,1.45363,0.008218,0.008218,0.008218
74,24064.7,1.07438,0.53807,0.8953,1.44202,0.00819325,0.00819325,0.00819325
75,24396.4,1.05851,0.53807,0.89657,1.42971,0.0081685,0.0081685,0.0081685
76,24729.4,1.06014,0.54442,0.89784,1.41615,0.00814375,0.00814375,0.00814375
77,25062.8,1.03306,0.54822,0.89911,1.40266,0.008119,0.008119,0.008119
78,25395.5,1.03257,0.5533,0.90038,1.39021,0.00809425,0.00809425,0.00809425
79,25729,1.02021,0.5552,0.90165,1.37633,0.0080695,0.0080695,0.0080695
80,26062.9,1.00676,0.55838,0.90482,1.3642,0.00804475,0.00804475,0.00804475
81,26395.8,0.99877,0.56409,0.90863,1.35193,0.00802,0.00802,0.00802
82,26729.4,0.98064,0.56662,0.90863,1.34017,0.00799525,0.00799525,0.00799525
83,27072.7,0.96951,0.57107,0.91053,1.32786,0.0079705,0.0079705,0.0079705
84,27407,0.95746,0.57868,0.9118,1.31466,0.00794575,0.00794575,0.00794575
85,27740.1,0.95651,0.58439,0.9118,1.30276,0.007921,0.007921,0.007921
86,28073.4,0.94304,0.5882,0.91053,1.28841,0.00789625,0.00789625,0.00789625
87,28408.3,0.93225,0.59201,0.9118,1.27578,0.0078715,0.0078715,0.0078715
88,28742.3,0.91633,0.59327,0.91307,1.26312,0.00784675,0.00784675,0.00784675
89,29076.3,0.91487,0.59708,0.91688,1.25052,0.007822,0.007822,0.007822
90,29411.2,0.90529,0.60152,0.91942,1.23767,0.00779725,0.00779725,0.00779725
91,29744.5,0.9019,0.60723,0.92069,1.22416,0.0077725,0.0077725,0.0077725
92,30078.9,0.89331,0.61168,0.92195,1.21086,0.00774775,0.00774775,0.00774775
93,30413.5,0.88105,0.61675,0.92386,1.19721,0.007723,0.007723,0.007723
94,30747.7,0.86627,0.62183,0.9264,1.18283,0.00769825,0.00769825,0.00769825
95,31081.9,0.86024,0.62881,0.92703,1.16777,0.0076735,0.0076735,0.0076735
96,31416.8,0.85043,0.63388,0.9302,1.15475,0.00764875,0.00764875,0.00764875
97,31751.5,0.83717,0.63769,0.92957,1.14248,0.007624,0.007624,0.007624
98,32086.6,0.83607,0.6434,0.93274,1.12847,0.00759925,0.00759925,0.00759925
99,32421.7,0.83346,0.65038,0.93338,1.11284,0.0075745,0.0075745,0.0075745
100,32756,0.81698,0.65799,0.93528,1.09832,0.00754975,0.00754975,0.00754975
101,33090.9,0.81262,0.66244,0.93528,1.08538,0.007525,0.007525,0.007525
102,33425.9,0.8009,0.66751,0.93718,1.06868,0.00750025,0.00750025,0.00750025
103,33761.2,0.79365,0.67069,0.93782,1.053,0.0074755,0.0074755,0.0074755
104,34096.8,0.7836,0.67132,0.93909,1.03846,0.00745075,0.00745075,0.00745075
105,34431.6,0.79108,0.67386,0.93845,1.02385,0.007426,0.007426,0.007426
106,34763.4,0.76161,0.6802,0.93909,1.00865,0.00740125,0.00740125,0.00740125
107,35097.4,0.76379,0.68274,0.94162,0.99285,0.0073765,0.0073765,0.0073765
108,35431.7,0.75803,0.68909,0.94162,0.97902,0.00735175,0.00735175,0.00735175
109,35766.8,0.75306,0.69162,0.9448,0.96515,0.007327,0.007327,0.007327
110,36102.4,0.74755,0.69607,0.94607,0.95168,0.00730225,0.00730225,0.00730225
111,36437.7,0.73855,0.69797,0.9486,0.93983,0.0072775,0.0072775,0.0072775
112,36773.7,0.73756,0.70622,0.94987,0.92742,0.00725275,0.00725275,0.00725275
113,37109.5,0.71807,0.71066,0.95051,0.9162,0.007228,0.007228,0.007228
114,37445.7,0.72313,0.71574,0.95178,0.90356,0.00720325,0.00720325,0.00720325
115,37782.2,0.70735,0.71954,0.95431,0.89174,0.0071785,0.0071785,0.0071785
116,38118.2,0.71842,0.72462,0.95558,0.88051,0.00715375,0.00715375,0.00715375
